subnum,trial,baseImage,stimCode,type,probeCond,probe,x,y,probeFile,clickResp,corr,time1,time2,responsetime,size,Centrality
105,40,i264,23,ABSENT,3,1,-264,103,Stimuli/Probes/i264-1.png,0,1,379019,380029,1010,155,283
105,41,i294,100,PRESENT,4,1,-239,260,Stimuli/Probes/i294-1.png,1,1,384034,386213,2179,238,353
105,42,i264,120,PRESENT,5,1,-264,103,Stimuli/Probes/i264-1.png,1,1,396202,396949,747,155,283
105,43,i264,3,PRESENT,4,3,389,-8,Stimuli/Probes/i264-3.png,1,1,399426,400005,579,161,389
105,44,i9,0,ABSENT,1,3,248,74,Stimuli/Probes/i9-3.png,0,1,402915,403773,858,80,259
105,45,i294,103,PRESENT,5,3,310,152,Stimuli/Probes/i294-3.png,1,1,406570,407573,1003,259,345
106,1,i294,100,ABSENT,2,3,310,152,Stimuli/Probes/i294-3.png,1,0,92016,93018,1002,259,345
106,2,i9,120,PRESENT,5,1,-234,30,Stimuli/Probes/i9-1.png,1,1,98576,99699,1123,92,236
106,3,i294,103,ABSENT,3,2,-237,-211,Stimuli/Probes/i294-2.png,1,0,105248,106546,1298,237,317
106,4,i9,0,ABSENT,1,2,30,45,Stimuli/Probes/i9-2.png,1,0,109480,111850,2370,104,54
106,5,i264,100,PRESENT,4,1,-264,103,Stimuli/Probes/i264-1.png,1,1,115504,116186,682,155,283
106,6,i294,0,ABSENT,1,2,-237,-211,Stimuli/Probes/i294-2.png,0,1,134663,137059,2396,237,317
106,7,i294,100,PRESENT,4,1,-239,260,Stimuli/Probes/i294-1.png,1,1,141495,142049,554,238,353
106,8,i264,120,PRESENT,5,2,26,141,Stimuli/Probes/i264-2.png,1,1,145295,146249,954,172,143
106,9,i264,103,PRESENT,5,1,-264,103,Stimuli/Probes/i264-1.png,1,1,149159,149825,666,155,283
106,10,i9,100,ABSENT,2,3,248,74,Stimuli/Probes/i9-3.png,1,0,152886,153609,723,80,259
106,11,i264,100,ABSENT,2,3,389,-8,Stimuli/Probes/i264-3.png,1,0,156806,157681,875,161,389
106,12,i9,3,PRESENT,4,3,248,74,Stimuli/Probes/i9-3.png,1,1,161462,162793,1331,80,259
